GEO_ID,Total,Total Population (Single Race),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Multiracial
1000000US061130101021000,0,0,0,0,0,0,0,0,0
1000000US061130101021001,0,0,0,0,0,0,0,0,0
1000000US061130101021002,3,1,0,0,0,0,0,1,2
1000000US061130101021003,0,0,0,0,0,0,0,0,0
1000000US061130101021004,35,21,8,0,0,6,0,7,14
1000000US061130101021005,0,0,0,0,0,0,0,0,0
1000000US061130101021006,0,0,0,0,0,0,0,0,0
1000000US061130101021007,0,0,0,0,0,0,0,0,0
1000000US061130101021008,0,0,0,0,0,0,0,0,0
1000000US061130101021009,0,0,0,0,0,0,0,0,0
1000000US061130101021010,0,0,0,0,0,0,0,0,0
1000000US061130101021011,0,0,0,0,0,0,0,0,0
1000000US061130101021012,0,0,0,0,0,0,0,0,0
1000000US061130101021013,3,3,0,0,0,1,0,2,0
1000000US061130101021014,0,0,0,0,0,0,0,0,0
1000000US061130101021015,8,7,1,0,0,0,0,6,1
1000000US061130101021016,7,7,6,0,0,0,0,1,0
1000000US061130101021017,6,4,3,0,0,0,0,1,2
1000000US061130101021018,0,0,0,0,0,0,0,0,0
1000000US061130101021019,0,0,0,0,0,0,0,0,0
1000000US061130101021020,9,6,4,0,0,0,0,2,3
1000000US061130101021021,16,15,13,0,0,0,0,2,1
1000000US061130101021022,6,5,1,1,0,0,0,3,1
1000000US061130101021023,32,25,22,0,0,1,2,0,7
1000000US061130101021024,0,0,0,0,0,0,0,0,0
1000000US061130101021025,0,0,0,0,0,0,0,0,0
1000000US061130101021026,0,0,0,0,0,0,0,0,0
1000000US061130101021027,0,0,0,0,0,0,0,0,0
1000000US061130101021028,0,0,0,0,0,0,0,0,0
1000000US061130101021029,0,0,0,0,0,0,0,0,0
1000000US061130101021030,0,0,0,0,0,0,0,0,0
1000000US061130101021031,0,0,0,0,0,0,0,0,0
1000000US061130101021032,0,0,0,0,0,0,0,0,0
1000000US061130101021033,7,5,1,2,1,0,1,0,2
1000000US061130101021034,0,0,0,0,0,0,0,0,0
1000000US061130101021035,0,0,0,0,0,0,0,0,0
1000000US061130101021036,0,0,0,0,0,0,0,0,0
1000000US061130101021037,0,0,0,0,0,0,0,0,0
1000000US061130101021038,0,0,0,0,0,0,0,0,0
1000000US061130101021039,0,0,0,0,0,0,0,0,0
1000000US061130101021040,0,0,0,0,0,0,0,0,0
1000000US061130101021041,0,0,0,0,0,0,0,0,0
1000000US061130101021042,54,42,28,2,0,1,4,7,12
1000000US061130101021043,64,51,39,1,3,0,0,8,13
1000000US061130101021044,83,72,52,1,5,0,0,14,11
1000000US061130101021045,108,99,42,0,2,8,4,43,9
1000000US061130101021046,116,105,68,6,5,0,1,25,11
1000000US061130101021047,130,115,83,0,1,5,1,25,15
1000000US061130101021048,173,155,116,6,0,8,0,25,18
1000000US061130101021049,131,117,103,0,0,6,0,8,14
1000000US061130101021050,108,96,77,3,1,0,1,14,12
1000000US061130101021051,64,63,36,2,1,2,1,21,1
1000000US061130101021052,143,113,69,0,2,8,0,34,30
1000000US061130101021053,20,14,4,2,0,4,0,4,6
1000000US061130101021054,0,0,0,0,0,0,0,0,0
1000000US061130101021055,0,0,0,0,0,0,0,0,0
1000000US061130101021056,13,13,9,1,3,0,0,0,0
1000000US061130101021057,0,0,0,0,0,0,0,0,0
1000000US061130101021058,0,0,0,0,0,0,0,0,0
1000000US061130101021059,44,40,24,3,4,4,0,5,4
1000000US061130101021060,18,18,11,0,7,0,0,0,0
1000000US061130101021061,0,0,0,0,0,0,0,0,0
1000000US061130101021062,0,0,0,0,0,0,0,0,0
1000000US061130101031000,79,71,50,5,0,7,0,9,8
1000000US061130101031001,97,84,53,3,1,9,3,15,13
1000000US061130101031002,44,38,27,0,0,5,1,5,6
1000000US061130101031003,69,63,41,0,7,3,0,12,6
1000000US061130101031004,106,84,68,0,1,0,3,12,22
1000000US061130101031005,49,40,30,4,4,1,1,0,9
1000000US061130101031006,44,38,19,0,4,6,0,9,6
1000000US061130101031007,51,46,35,0,6,1,0,4,5
1000000US061130101031008,82,65,50,4,0,5,3,3,17
1000000US061130101031009,69,55,44,0,1,2,4,4,14
1000000US061130101031010,405,364,213,12,2,48,6,83,41
1000000US061130101031011,75,56,36,0,2,7,0,11,19
1000000US061130101031012,69,57,38,3,4,4,0,8,12
1000000US061130101031013,276,257,149,0,0,49,10,49,19
1000000US061130101032000,71,57,26,2,6,5,0,18,14
1000000US061130101032001,957,822,321,28,10,144,42,277,135
1000000US061130101032002,45,39,26,3,5,1,2,2,6
1000000US061130101032003,82,66,41,2,0,5,0,18,16
1000000US061130101032004,113,94,34,0,3,1,4,52,19
1000000US061130101032005,247,198,75,13,7,39,14,50,49
1000000US061130101032006,122,93,51,5,0,4,2,31,29
1000000US061130101032007,76,59,34,1,0,7,0,17,17
1000000US061130101032008,59,46,20,4,1,2,1,18,13
1000000US061130101032009,47,33,16,1,3,0,0,13,14
1000000US061130101032010,330,301,137,10,18,14,5,117,29
1000000US061130101032011,0,0,0,0,0,0,0,0,0
1000000US061130101033000,0,0,0,0,0,0,0,0,0
1000000US061130101033001,134,119,83,3,6,17,1,9,15
1000000US061130101033002,163,136,83,10,5,6,0,32,27
1000000US061130101033003,92,86,31,14,1,40,0,0,6
1000000US061130101033004,157,138,84,1,4,16,0,33,19
1000000US061130101033005,137,104,68,0,5,7,0,24,33
1000000US061130101033006,151,132,82,0,0,12,3,35,19
1000000US061130101033007,0,0,0,0,0,0,0,0,0
1000000US061130101033008,0,0,0,0,0,0,0,0,0
