block_fips,pop2020
61130101032011,0
61130115001002,25
61130107041021,67
61130112071032,17
61130105052021,0
61130103121011,39
61130102034010,0
61130114002074,24
61130105112002,53
61130111031006,115
61130111012025,96
61130101051016,0
61130107032005,60
61130103132008,48
61130112092009,55
61130101021050,108
61130113011000,0
61130115005029,9
61130115005034,0
61130115005046,0
61130112072019,155
61130112071003,110
61130113031009,31
61130113012038,40
61130101033019,105
61130105053004,469
61130111011021,49
61130115002048,0
61130115001020,13
61130114001005,0
61130102034029,0
61130114001014,256
61130114003056,0
61130112083088,0
61130115005038,0
61130107014024,0
61130106102012,58
61130104012005,82
61130113031004,0
61130113011004,0
61130112092012,51
61130102011067,44
61130105081008,53
61130105053003,93
61130114003024,0
61130107033004,0
61130114002019,72
61130110011013,81
61130102011019,22
61130112083102,5
61130115002005,0
61130107013012,39
61130115004012,21
61130102034001,0
61130111011029,118
61130114001092,6
61130101033016,130
61130107031004,45
61130103151016,0
61130113041014,0
61130111012009,38
61130108001006,443
61130104021027,0
61130102011037,0
61130115001037,113
61130114002064,0
61130105052013,7
61130114001073,10
61130103151024,59
61130114003054,0
61130105111001,59
61130113031001,46
61130102042002,53
61130109013025,82
61130115001028,0
61130106022007,39
61130114001002,5
61130103131012,38
61130101041016,0
61130104011068,10
61130112083004,0
61130114001067,16
61130105052032,14
61130114003033,7
61130105112003,484
61130115002079,27
61130105052003,29
61130102042011,0
61130111032011,110
61130103121006,59
61130115005047,0
61130106092007,0
61130112031003,135
61130112032012,41
61130102011043,49
61130115003029,23
61130115003016,106
61130103121007,48
61130103121008,76
61130111021005,75
61130114001008,15
61130104011038,47
61130114001021,0
61130102034022,65
61130106092014,27
61130108003018,0
61130110023006,16
61130114002056,15
61130114001100,0
61130106024002,0
61130113012047,0
61130102032002,201
61130112041011,168
61130112072013,171
61130102034034,0
61130101044003,187
61130107014037,20
61130113012025,0
61130105012013,0
61130115002073,0
61130105092010,53
61130102012027,60
61130103131022,89
61130109022000,162
61130114003072,14
61130114003037,3
61130106051003,119
61130106082001,26
61130110023015,21
61130108003001,0
61130114003016,9
61130103104008,139
61130101032000,71
61130109022012,83
61130113011062,392
61130114001054,18
61130102012015,31
61130105092012,186
