long,lat,name,cbg,cb,down_stream,up_stream
-121.74133810222659,38.54062403840337,['SLS 02'],061130105012,061130105012017,"[(-121.74184115718147, 38.54192551509887)]","[(-121.74201672750242, 38.54046814841206)]"
-121.67943893319752,38.550079778095494,"['SLS 06', 'P20-042-1']",061130104014,061130104014035,"[(-121.68171512247739, 38.54957845407346)]","[(-121.67953045175538, 38.55020604014686), (-121.67913998123416, 38.5494649840185)]"
-121.74976723990835,38.57293349352972,"['SLS 05', 'M13-015-1']",061130105104,061130105104001,"[(-121.74977989124244, 38.57303827854869)]","[(-121.74864447213379, 38.57307313701779)]"
-121.73165207035036,38.54874785026398,"['SLS 04', 'P14-122-1']",061130106023,061130106023007,"[(-121.73901525114353, 38.54760050517666)]","[(-121.73147729787894, 38.54874429118144)]"
-121.68541776413717,38.53972575181906,"['SLS 01', 'Q19-SLS01-1']",061130104014,061130104014010,"[(-121.67571909250405, 38.55930187945072)]","[(-121.6853971117833, 38.539779374143755)]"
-121.7206532992044,38.56286829348811,"['SLS 03', 'N16-070-1']",061130106091,061130106091001,"[(-121.72045687253359, 38.563260552837946)]","[(-121.7208412369655, 38.56296916478895)]"
-121.69576427649338,38.54238421352434,['Q18-059-1'],061130106073,061130106073000,"[(-121.69576306774347, 38.54125822731764)]",[]
-121.75341692612422,38.54954262172168,['P12-122-1'],061130107041,061130107041014,"[(-121.75340885348412, 38.55006345074694)]","[(-121.7534249986465, 38.54902179269334)]"
-121.75440032720648,38.570009587490475,['M12-034-1'],061130105104,061130105104001,"[(-121.75438421519279, 38.569609801653066)]","[(-121.75451400303334, 38.57000960619831)]"
-121.67571909250405,38.55930187945072,['O20-001-1'],061130105052,061130105052033,"[(-121.67569642901712, 38.560592327891044)]","[(-121.68541776413717, 38.53972575181906)]"
-121.72031380864901,38.55709618718334,['O16-034-1'],061130106102,061130106102001,"[(-121.72037865580529, 38.557818645578074)]","[(-121.72240759029691, 38.55698493465879)]"
-121.75847497774781,38.56391960565579,['N11-059-1'],061130105102,061130105102000,"[(-121.75848384609657, 38.563424975406406)]","[(-121.75659394852075, 38.563896560697685), (-121.76011200354479, 38.563718010298764), (-121.7584004902929, 38.56500738062052)]"
-121.76011200354479,38.563718010298764,['N11-058-1'],061130105102,061130105102000,"[(-121.75847497774781, 38.56391960565579)]",[]
-121.76194216250897,38.56497511324794,['N11-037-1'],061130105102,061130105102000,"[(-121.76133070779552, 38.56565974545496)]",[]
-121.72285766184243,38.56139151048289,['N15-071-1'],061130106092,061130106092005,"[(-121.72169083647792, 38.56149516545998)]","[(-121.7239458005977, 38.56129566317534)]"
-121.74954185081998,38.56491563111313,['N13-013-1'],061130105092,061130105092002,"[(-121.75056475590594, 38.56451298907012)]",[]
-121.76560066541228,38.56656862797868,['N11-015-1'],061130105103,061130105103004,"[(-121.76557354271915, 38.56630771211173)]","[(-121.76564218862389, 38.5667046357076)]"
-121.76854307764776,38.56349960141819,['N10-009-1'],061130105051,061130105051018,"[(-121.76855900747948, 38.56332349173428)]","[(-121.7685371305047, 38.5635653374635)]"
-121.76816406023067,38.56645950731356,['N10-006-1'],061130105051,061130105051018,"[(-121.7683685211314, 38.564779619449226)]","[(-121.7681631815851, 38.56652540451418)]"
-121.76812792014827,38.569175470728325,['M10-006-1'],061130105051,061130105051017,"[(-121.7681631815851, 38.56652540451418)]","[(-121.76812704317572, 38.569241370675364)]"
-121.76807844858428,38.57192226166756,['M10-004-1'],061130105051,061130105051017,"[(-121.76812704317572, 38.569241370675364)]","[(-121.7680772532514, 38.57198815685483)]"
-121.76803598322581,38.57466790361868,['M10-002-1'],061130105052,061130105052027,"[(-121.7680772532514, 38.57198815685483)]","[(-121.76803496794375, 38.57473380053636)]"
-121.7170646472251,38.537370709211196,['R16-023-1'],061130106082,061130106082000,"[(-121.71746175297586, 38.537997082454)]","[(-121.71720261003956, 38.53718915469318)]"
-121.72957898078357,38.54528116316294,['Q15-001-1'],061130106024,061130106024000,"[(-121.7311145784069, 38.5449342524192)]",[]
-121.74133717223793,38.54058834090141,['Q13-037FM-1'],061130105012,061130105012017,"[(-121.74184115718147, 38.54192551509887)]","[(-121.74201672750242, 38.54046814841206)]"
-121.69132058029575,38.5460872476795,['P19-049-1'],061130104012,061130104012005,"[(-121.69062552740235, 38.54606770375224)]","[(-121.69215680806032, 38.54571451140689)]"
-121.69425049956814,38.5467801159811,['P19-031-1'],061130104012,061130104012000,"[(-121.69341498316287, 38.547007261806456)]",[]
-121.7030018443717,38.54639293055526,['P18-035-1'],061130106074,061130106074002,"[(-121.7012708211267, 38.54636877708539)]","[(-121.70364081024265, 38.54640289157433)]"
-121.71204498297365,38.54641808367964,['P17-052-1'],061130106072,061130106072001,"[(-121.7119690386437, 38.54651599230805)]","[(-121.71206599745321, 38.5458082789859)]"
-121.7132344171014,38.54653547862051,['P17-045-1'],061130106072,061130106072001,"[(-121.7119690386437, 38.54651599230805)]","[(-121.71333929223827, 38.5465370921979)]"
-121.72084337261553,38.551472836566134,['P16-023-1'],061130106102,061130106102013,"[(-121.72165177831239, 38.551297571042504)]","[(-121.71988540576352, 38.55167045419418)]"
-121.72733214996389,38.55154532967263,['P15-018-1'],061130106023,061130106023004,"[(-121.72831791391529, 38.55156508044144)]",[]
-121.72737726035676,38.55232006218605,['P15-012-1'],061130106023,061130106023000,"[(-121.72931042042221, 38.55235913388914)]",[]
-121.72772027133391,38.553203772584496,['P15-005-1'],061130106023,061130106023000,"[(-121.72930778250917, 38.5532135925526)]",[]
-121.73131406872116,38.55344878543344,['P15-001-1'],061130106111,061130106111010,"[(-121.73165601937758, 38.553431108465105)]","[(-121.7313165148534, 38.55417505355771), (-121.73039613861076, 38.5534177664827)]"
-121.73165601937758,38.553431108465105,['P14-029-1'],061130106111,061130106111010,"[(-121.73221437381882, 38.55336235365715)]","[(-121.73131406872116, 38.55344878543344)]"
-121.73083798848585,38.552390669337846,['P15-010-1'],061130106023,061130106023000,"[(-121.72931042042221, 38.55235913388914)]",[]
-121.73968119262825,38.55079151930025,['P14-032-1'],061130106022,061130106022003,"[(-121.73844802719341, 38.55118403415209)]","[(-121.73947805158002, 38.55011014855003)]"
-121.73821080495173,38.547556443714114,['P14-104-1'],061130106022,061130106022013,"[(-121.73827040743049, 38.54777668910534)]",[]
